Sentence,Target_Action,Noun,Color,Relative_Action,Relative_Object,Relative_Object_Color
hold the red pyramid right the green sphere,hold,pyramid,red,right,sphere,green
hold the red pyramid left the red sphere,hold,pyramid,red,left,sphere,red
hold the red pyramid left the blue sphere,hold,pyramid,red,left,sphere,blue
hold the red pyramid left the green sphere,hold,pyramid,red,left,sphere,green
add the blue pyramid above the red cube,add,pyramid,blue,above,cube,red
add the blue pyramid above the blue cube,add,pyramid,blue,above,cube,blue
add the blue pyramid above the green cube,add,pyramid,blue,above,cube,green
add the blue pyramid below the red cube,add,pyramid,blue,below,cube,red
add the blue pyramid below the blue cube,add,pyramid,blue,below,cube,blue
add the blue pyramid below the green cube,add,pyramid,blue,below,cube,green
add the blue pyramid near the red cube,add,pyramid,blue,near,cube,red
add the blue pyramid near the blue cube,add,pyramid,blue,near,cube,blue
add the blue pyramid near the green cube,add,pyramid,blue,near,cube,green
add the blue pyramid right the red cube,add,pyramid,blue,right,cube,red
add the blue pyramid right the blue cube,add,pyramid,blue,right,cube,blue
add the blue pyramid right the green cube,add,pyramid,blue,right,cube,green
add the blue pyramid left the red cube,add,pyramid,blue,left,cube,red
add the blue pyramid left the blue cube,add,pyramid,blue,left,cube,blue
add the blue pyramid left the green cube,add,pyramid,blue,left,cube,green
add the blue pyramid above the red pyramid,add,pyramid,blue,above,pyramid,red
add the blue pyramid above the blue pyramid,add,pyramid,blue,above,pyramid,blue
add the blue pyramid above the green pyramid,add,pyramid,blue,above,pyramid,green
add the blue pyramid below the red pyramid,add,pyramid,blue,below,pyramid,red
add the blue pyramid below the blue pyramid,add,pyramid,blue,below,pyramid,blue
add the blue pyramid below the green pyramid,add,pyramid,blue,below,pyramid,green
add the blue pyramid near the red pyramid,add,pyramid,blue,near,pyramid,red
add the blue pyramid near the blue pyramid,add,pyramid,blue,near,pyramid,blue
add the blue pyramid near the green pyramid,add,pyramid,blue,near,pyramid,green
add the blue pyramid right the red pyramid,add,pyramid,blue,right,pyramid,red
add the blue pyramid right the blue pyramid,add,pyramid,blue,right,pyramid,blue
add the blue pyramid right the green pyramid,add,pyramid,blue,right,pyramid,green
add the blue pyramid left the red pyramid,add,pyramid,blue,left,pyramid,red
add the blue pyramid left the blue pyramid,add,pyramid,blue,left,pyramid,blue
add the blue pyramid left the green pyramid,add,pyramid,blue,left,pyramid,green
add the blue pyramid above the red sphere,add,pyramid,blue,above,sphere,red
add the blue pyramid above the blue sphere,add,pyramid,blue,above,sphere,blue
add the blue pyramid above the green sphere,add,pyramid,blue,above,sphere,green
add the blue pyramid below the red sphere,add,pyramid,blue,below,sphere,red
add the blue pyramid below the blue sphere,add,pyramid,blue,below,sphere,blue
add the blue pyramid below the green sphere,add,pyramid,blue,below,sphere,green
add the blue pyramid near the red sphere,add,pyramid,blue,near,sphere,red
add the blue pyramid near the blue sphere,add,pyramid,blue,near,sphere,blue
add the blue pyramid near the green sphere,add,pyramid,blue,near,sphere,green
add the blue pyramid right the red sphere,add,pyramid,blue,right,sphere,red
add the blue pyramid right the blue sphere,add,pyramid,blue,right,sphere,blue
add the blue pyramid right the green sphere,add,pyramid,blue,right,sphere,green
add the blue pyramid left the red sphere,add,pyramid,blue,left,sphere,red
add the blue pyramid left the blue sphere,add,pyramid,blue,left,sphere,blue
add the blue pyramid left the green sphere,add,pyramid,blue,left,sphere,green
find the blue pyramid above the red cube,find,pyramid,blue,above,cube,red
find the blue pyramid above the blue cube,find,pyramid,blue,above,cube,blue
find the blue pyramid above the green cube,find,pyramid,blue,above,cube,green
find the blue pyramid below the red cube,find,pyramid,blue,below,cube,red
find the blue pyramid below the blue cube,find,pyramid,blue,below,cube,blue
find the blue pyramid below the green cube,find,pyramid,blue,below,cube,green
find the blue pyramid near the red cube,find,pyramid,blue,near,cube,red
find the blue pyramid near the blue cube,find,pyramid,blue,near,cube,blue
find the blue pyramid near the green cube,find,pyramid,blue,near,cube,green
find the blue pyramid right the red cube,find,pyramid,blue,right,cube,red
find the blue pyramid right the blue cube,find,pyramid,blue,right,cube,blue
find the blue pyramid right the green cube,find,pyramid,blue,right,cube,green
find the blue pyramid left the red cube,find,pyramid,blue,left,cube,red
find the blue pyramid left the blue cube,find,pyramid,blue,left,cube,blue
find the blue pyramid left the green cube,find,pyramid,blue,left,cube,green
find the blue pyramid above the red pyramid,find,pyramid,blue,above,pyramid,red
find the blue pyramid above the blue pyramid,find,pyramid,blue,above,pyramid,blue
find the blue pyramid above the green pyramid,find,pyramid,blue,above,pyramid,green
find the blue pyramid below the red pyramid,find,pyramid,blue,below,pyramid,red
find the blue pyramid below the blue pyramid,find,pyramid,blue,below,pyramid,blue
find the blue pyramid below the green pyramid,find,pyramid,blue,below,pyramid,green
find the blue pyramid near the red pyramid,find,pyramid,blue,near,pyramid,red
find the blue pyramid near the blue pyramid,find,pyramid,blue,near,pyramid,blue
find the blue pyramid near the green pyramid,find,pyramid,blue,near,pyramid,green
find the blue pyramid right the red pyramid,find,pyramid,blue,right,pyramid,red
find the blue pyramid right the blue pyramid,find,pyramid,blue,right,pyramid,blue
find the blue pyramid right the green pyramid,find,pyramid,blue,right,pyramid,green
find the blue pyramid left the red pyramid,find,pyramid,blue,left,pyramid,red
find the blue pyramid left the blue pyramid,find,pyramid,blue,left,pyramid,blue
find the blue pyramid left the green pyramid,find,pyramid,blue,left,pyramid,green
find the blue pyramid above the red sphere,find,pyramid,blue,above,sphere,red
find the blue pyramid above the blue sphere,find,pyramid,blue,above,sphere,blue
find the blue pyramid above the green sphere,find,pyramid,blue,above,sphere,green
find the blue pyramid below the red sphere,find,pyramid,blue,below,sphere,red
find the blue pyramid below the blue sphere,find,pyramid,blue,below,sphere,blue
find the blue pyramid below the green sphere,find,pyramid,blue,below,sphere,green
find the blue pyramid near the red sphere,find,pyramid,blue,near,sphere,red
find the blue pyramid near the blue sphere,find,pyramid,blue,near,sphere,blue
find the blue pyramid near the green sphere,find,pyramid,blue,near,sphere,green
find the blue pyramid right the red sphere,find,pyramid,blue,right,sphere,red
find the blue pyramid right the blue sphere,find,pyramid,blue,right,sphere,blue
find the blue pyramid right the green sphere,find,pyramid,blue,right,sphere,green
find the blue pyramid left the red sphere,find,pyramid,blue,left,sphere,red
find the blue pyramid left the blue sphere,find,pyramid,blue,left,sphere,blue
find the blue pyramid left the green sphere,find,pyramid,blue,left,sphere,green
delete the blue pyramid above the red cube,delete,pyramid,blue,above,cube,red
delete the blue pyramid above the blue cube,delete,pyramid,blue,above,cube,blue
delete the blue pyramid above the green cube,delete,pyramid,blue,above,cube,green
delete the blue pyramid below the red cube,delete,pyramid,blue,below,cube,red
delete the blue pyramid below the blue cube,delete,pyramid,blue,below,cube,blue
delete the blue pyramid below the green cube,delete,pyramid,blue,below,cube,green
delete the blue pyramid near the red cube,delete,pyramid,blue,near,cube,red
delete the blue pyramid near the blue cube,delete,pyramid,blue,near,cube,blue
delete the blue pyramid near the green cube,delete,pyramid,blue,near,cube,green
delete the blue pyramid right the red cube,delete,pyramid,blue,right,cube,red
delete the blue pyramid right the blue cube,delete,pyramid,blue,right,cube,blue
delete the blue pyramid right the green cube,delete,pyramid,blue,right,cube,green
delete the blue pyramid left the red cube,delete,pyramid,blue,left,cube,red
delete the blue pyramid left the blue cube,delete,pyramid,blue,left,cube,blue
delete the blue pyramid left the green cube,delete,pyramid,blue,left,cube,green
delete the blue pyramid above the red pyramid,delete,pyramid,blue,above,pyramid,red
delete the blue pyramid above the blue pyramid,delete,pyramid,blue,above,pyramid,blue
delete the blue pyramid above the green pyramid,delete,pyramid,blue,above,pyramid,green
delete the blue pyramid below the red pyramid,delete,pyramid,blue,below,pyramid,red
delete the blue pyramid below the blue pyramid,delete,pyramid,blue,below,pyramid,blue
delete the blue pyramid below the green pyramid,delete,pyramid,blue,below,pyramid,green
delete the blue pyramid near the red pyramid,delete,pyramid,blue,near,pyramid,red
delete the blue pyramid near the blue pyramid,delete,pyramid,blue,near,pyramid,blue
delete the blue pyramid near the green pyramid,delete,pyramid,blue,near,pyramid,green
delete the blue pyramid right the red pyramid,delete,pyramid,blue,right,pyramid,red
delete the blue pyramid right the blue pyramid,delete,pyramid,blue,right,pyramid,blue
delete the blue pyramid right the green pyramid,delete,pyramid,blue,right,pyramid,green
delete the blue pyramid left the red pyramid,delete,pyramid,blue,left,pyramid,red
delete the blue pyramid left the blue pyramid,delete,pyramid,blue,left,pyramid,blue
delete the blue pyramid left the green pyramid,delete,pyramid,blue,left,pyramid,green
delete the blue pyramid above the red sphere,delete,pyramid,blue,above,sphere,red
delete the blue pyramid above the blue sphere,delete,pyramid,blue,above,sphere,blue
delete the blue pyramid above the green sphere,delete,pyramid,blue,above,sphere,green
delete the blue pyramid below the red sphere,delete,pyramid,blue,below,sphere,red
delete the blue pyramid below the blue sphere,delete,pyramid,blue,below,sphere,blue
delete the blue pyramid below the green sphere,delete,pyramid,blue,below,sphere,green
delete the blue pyramid near the red sphere,delete,pyramid,blue,near,sphere,red
delete the blue pyramid near the blue sphere,delete,pyramid,blue,near,sphere,blue
delete the blue pyramid near the green sphere,delete,pyramid,blue,near,sphere,green
delete the blue pyramid right the red sphere,delete,pyramid,blue,right,sphere,red
delete the blue pyramid right the blue sphere,delete,pyramid,blue,right,sphere,blue
delete the blue pyramid right the green sphere,delete,pyramid,blue,right,sphere,green
delete the blue pyramid left the red sphere,delete,pyramid,blue,left,sphere,red
delete the blue pyramid left the blue sphere,delete,pyramid,blue,left,sphere,blue
delete the blue pyramid left the green sphere,delete,pyramid,blue,left,sphere,green
move the blue pyramid above the red cube,move,pyramid,blue,above,cube,red
move the blue pyramid above the blue cube,move,pyramid,blue,above,cube,blue
move the blue pyramid above the green cube,move,pyramid,blue,above,cube,green
move the blue pyramid below the red cube,move,pyramid,blue,below,cube,red
move the blue pyramid below the blue cube,move,pyramid,blue,below,cube,blue
move the blue pyramid below the green cube,move,pyramid,blue,below,cube,green
move the blue pyramid near the red cube,move,pyramid,blue,near,cube,red
move the blue pyramid near the blue cube,move,pyramid,blue,near,cube,blue
move the blue pyramid near the green cube,move,pyramid,blue,near,cube,green
move the blue pyramid right the red cube,move,pyramid,blue,right,cube,red
move the blue pyramid right the blue cube,move,pyramid,blue,right,cube,blue
move the blue pyramid right the green cube,move,pyramid,blue,right,cube,green
move the blue pyramid left the red cube,move,pyramid,blue,left,cube,red
move the blue pyramid left the blue cube,move,pyramid,blue,left,cube,blue
move the blue pyramid left the green cube,move,pyramid,blue,left,cube,green
move the blue pyramid above the red pyramid,move,pyramid,blue,above,pyramid,red
move the blue pyramid above the blue pyramid,move,pyramid,blue,above,pyramid,blue
move the blue pyramid above the green pyramid,move,pyramid,blue,above,pyramid,green
move the blue pyramid below the red pyramid,move,pyramid,blue,below,pyramid,red
move the blue pyramid below the blue pyramid,move,pyramid,blue,below,pyramid,blue
move the blue pyramid below the green pyramid,move,pyramid,blue,below,pyramid,green
move the blue pyramid near the red pyramid,move,pyramid,blue,near,pyramid,red
move the blue pyramid near the blue pyramid,move,pyramid,blue,near,pyramid,blue
move the blue pyramid near the green pyramid,move,pyramid,blue,near,pyramid,green
move the blue pyramid right the red pyramid,move,pyramid,blue,right,pyramid,red
move the blue pyramid right the blue pyramid,move,pyramid,blue,right,pyramid,blue
move the blue pyramid right the green pyramid,move,pyramid,blue,right,pyramid,green
move the blue pyramid left the red pyramid,move,pyramid,blue,left,pyramid,red
move the blue pyramid left the blue pyramid,move,pyramid,blue,left,pyramid,blue
move the blue pyramid left the green pyramid,move,pyramid,blue,left,pyramid,green
move the blue pyramid above the red sphere,move,pyramid,blue,above,sphere,red
move the blue pyramid above the blue sphere,move,pyramid,blue,above,sphere,blue
move the blue pyramid above the green sphere,move,pyramid,blue,above,sphere,green
move the blue pyramid below the red sphere,move,pyramid,blue,below,sphere,red
move the blue pyramid below the blue sphere,move,pyramid,blue,below,sphere,blue
move the blue pyramid below the green sphere,move,pyramid,blue,below,sphere,green
move the blue pyramid near the red sphere,move,pyramid,blue,near,sphere,red
move the blue pyramid near the blue sphere,move,pyramid,blue,near,sphere,blue
move the blue pyramid near the green sphere,move,pyramid,blue,near,sphere,green
move the blue pyramid right the red sphere,move,pyramid,blue,right,sphere,red
move the blue pyramid right the blue sphere,move,pyramid,blue,right,sphere,blue
move the blue pyramid right the green sphere,move,pyramid,blue,right,sphere,green
move the blue pyramid left the red sphere,move,pyramid,blue,left,sphere,red
move the blue pyramid left the blue sphere,move,pyramid,blue,left,sphere,blue
move the blue pyramid left the green sphere,move,pyramid,blue,left,sphere,green
hold the blue pyramid above the red cube,hold,pyramid,blue,above,cube,red
hold the blue pyramid above the blue cube,hold,pyramid,blue,above,cube,blue
hold the blue pyramid above the green cube,hold,pyramid,blue,above,cube,green
hold the blue pyramid below the red cube,hold,pyramid,blue,below,cube,red
hold the blue pyramid below the blue cube,hold,pyramid,blue,below,cube,blue
hold the blue pyramid below the green cube,hold,pyramid,blue,below,cube,green
hold the blue pyramid near the red cube,hold,pyramid,blue,near,cube,red
hold the blue pyramid near the blue cube,hold,pyramid,blue,near,cube,blue
hold the blue pyramid near the green cube,hold,pyramid,blue,near,cube,green
hold the blue pyramid right the red cube,hold,pyramid,blue,right,cube,red
hold the blue pyramid right the blue cube,hold,pyramid,blue,right,cube,blue
hold the blue pyramid right the green cube,hold,pyramid,blue,right,cube,green
hold the blue pyramid left the red cube,hold,pyramid,blue,left,cube,red
hold the blue pyramid left the blue cube,hold,pyramid,blue,left,cube,blue
hold the blue pyramid left the green cube,hold,pyramid,blue,left,cube,green
hold the blue pyramid above the red pyramid,hold,pyramid,blue,above,pyramid,red
hold the blue pyramid above the blue pyramid,hold,pyramid,blue,above,pyramid,blue
hold the blue pyramid above the green pyramid,hold,pyramid,blue,above,pyramid,green
hold the blue pyramid below the red pyramid,hold,pyramid,blue,below,pyramid,red
hold the blue pyramid below the blue pyramid,hold,pyramid,blue,below,pyramid,blue
hold the blue pyramid below the green pyramid,hold,pyramid,blue,below,pyramid,green
hold the blue pyramid near the red pyramid,hold,pyramid,blue,near,pyramid,red
hold the blue pyramid near the blue pyramid,hold,pyramid,blue,near,pyramid,blue
hold the blue pyramid near the green pyramid,hold,pyramid,blue,near,pyramid,green
hold the blue pyramid right the red pyramid,hold,pyramid,blue,right,pyramid,red
hold the blue pyramid right the blue pyramid,hold,pyramid,blue,right,pyramid,blue
hold the blue pyramid right the green pyramid,hold,pyramid,blue,right,pyramid,green
hold the blue pyramid left the red pyramid,hold,pyramid,blue,left,pyramid,red
hold the blue pyramid left the blue pyramid,hold,pyramid,blue,left,pyramid,blue
hold the blue pyramid left the green pyramid,hold,pyramid,blue,left,pyramid,green
hold the blue pyramid above the red sphere,hold,pyramid,blue,above,sphere,red
hold the blue pyramid above the blue sphere,hold,pyramid,blue,above,sphere,blue
hold the blue pyramid above the green sphere,hold,pyramid,blue,above,sphere,green
hold the blue pyramid below the red sphere,hold,pyramid,blue,below,sphere,red
hold the blue pyramid below the blue sphere,hold,pyramid,blue,below,sphere,blue
hold the blue pyramid below the green sphere,hold,pyramid,blue,below,sphere,green
hold the blue pyramid near the red sphere,hold,pyramid,blue,near,sphere,red
hold the blue pyramid near the blue sphere,hold,pyramid,blue,near,sphere,blue
hold the blue pyramid near the green sphere,hold,pyramid,blue,near,sphere,green
hold the blue pyramid right the red sphere,hold,pyramid,blue,right,sphere,red
hold the blue pyramid right the blue sphere,hold,pyramid,blue,right,sphere,blue
hold the blue pyramid right the green sphere,hold,pyramid,blue,right,sphere,green
hold the blue pyramid left the red sphere,hold,pyramid,blue,left,sphere,red
hold the blue pyramid left the blue sphere,hold,pyramid,blue,left,sphere,blue
hold the blue pyramid left the green sphere,hold,pyramid,blue,left,sphere,green
add the green pyramid above the red cube,add,pyramid,green,above,cube,red
add the green pyramid above the blue cube,add,pyramid,green,above,cube,blue
add the green pyramid above the green cube,add,pyramid,green,above,cube,green
add the green pyramid below the red cube,add,pyramid,green,below,cube,red
add the green pyramid below the blue cube,add,pyramid,green,below,cube,blue
add the green pyramid below the green cube,add,pyramid,green,below,cube,green
add the green pyramid near the red cube,add,pyramid,green,near,cube,red
add the green pyramid near the blue cube,add,pyramid,green,near,cube,blue
add the green pyramid near the green cube,add,pyramid,green,near,cube,green
add the green pyramid right the red cube,add,pyramid,green,right,cube,red
add the green pyramid right the blue cube,add,pyramid,green,right,cube,blue
add the green pyramid right the green cube,add,pyramid,green,right,cube,green
add the green pyramid left the red cube,add,pyramid,green,left,cube,red
add the green pyramid left the blue cube,add,pyramid,green,left,cube,blue
add the green pyramid left the green cube,add,pyramid,green,left,cube,green
add the green pyramid above the red pyramid,add,pyramid,green,above,pyramid,red
add the green pyramid above the blue pyramid,add,pyramid,green,above,pyramid,blue
add the green pyramid above the green pyramid,add,pyramid,green,above,pyramid,green
add the green pyramid below the red pyramid,add,pyramid,green,below,pyramid,red
add the green pyramid below the blue pyramid,add,pyramid,green,below,pyramid,blue
add the green pyramid below the green pyramid,add,pyramid,green,below,pyramid,green
add the green pyramid near the red pyramid,add,pyramid,green,near,pyramid,red
add the green pyramid near the blue pyramid,add,pyramid,green,near,pyramid,blue
add the green pyramid near the green pyramid,add,pyramid,green,near,pyramid,green
add the green pyramid right the red pyramid,add,pyramid,green,right,pyramid,red
add the green pyramid right the blue pyramid,add,pyramid,green,right,pyramid,blue
add the green pyramid right the green pyramid,add,pyramid,green,right,pyramid,green
add the green pyramid left the red pyramid,add,pyramid,green,left,pyramid,red
add the green pyramid left the blue pyramid,add,pyramid,green,left,pyramid,blue
add the green pyramid left the green pyramid,add,pyramid,green,left,pyramid,green
add the green pyramid above the red sphere,add,pyramid,green,above,sphere,red
add the green pyramid above the blue sphere,add,pyramid,green,above,sphere,blue
add the green pyramid above the green sphere,add,pyramid,green,above,sphere,green
add the green pyramid below the red sphere,add,pyramid,green,below,sphere,red
add the green pyramid below the blue sphere,add,pyramid,green,below,sphere,blue
add the green pyramid below the green sphere,add,pyramid,green,below,sphere,green
add the green pyramid near the red sphere,add,pyramid,green,near,sphere,red
add the green pyramid near the blue sphere,add,pyramid,green,near,sphere,blue
add the green pyramid near the green sphere,add,pyramid,green,near,sphere,green
add the green pyramid right the red sphere,add,pyramid,green,right,sphere,red
add the green pyramid right the blue sphere,add,pyramid,green,right,sphere,blue
add the green pyramid right the green sphere,add,pyramid,green,right,sphere,green
add the green pyramid left the red sphere,add,pyramid,green,left,sphere,red
add the green pyramid left the blue sphere,add,pyramid,green,left,sphere,blue
add the green pyramid left the green sphere,add,pyramid,green,left,sphere,green
find the green pyramid above the red cube,find,pyramid,green,above,cube,red
find the green pyramid above the blue cube,find,pyramid,green,above,cube,blue
find the green pyramid above the green cube,find,pyramid,green,above,cube,green
find the green pyramid below the red cube,find,pyramid,green,below,cube,red
find the green pyramid below the blue cube,find,pyramid,green,below,cube,blue
find the green pyramid below the green cube,find,pyramid,green,below,cube,green
find the green pyramid near the red cube,find,pyramid,green,near,cube,red
find the green pyramid near the blue cube,find,pyramid,green,near,cube,blue
find the green pyramid near the green cube,find,pyramid,green,near,cube,green
find the green pyramid right the red cube,find,pyramid,green,right,cube,red
find the green pyramid right the blue cube,find,pyramid,green,right,cube,blue
find the green pyramid right the green cube,find,pyramid,green,right,cube,green
find the green pyramid left the red cube,find,pyramid,green,left,cube,red
find the green pyramid left the blue cube,find,pyramid,green,left,cube,blue
find the green pyramid left the green cube,find,pyramid,green,left,cube,green
find the green pyramid above the red pyramid,find,pyramid,green,above,pyramid,red
find the green pyramid above the blue pyramid,find,pyramid,green,above,pyramid,blue
find the green pyramid above the green pyramid,find,pyramid,green,above,pyramid,green
find the green pyramid below the red pyramid,find,pyramid,green,below,pyramid,red
find the green pyramid below the blue pyramid,find,pyramid,green,below,pyramid,blue
find the green pyramid below the green pyramid,find,pyramid,green,below,pyramid,green
find the green pyramid near the red pyramid,find,pyramid,green,near,pyramid,red
find the green pyramid near the blue pyramid,find,pyramid,green,near,pyramid,blue
find the green pyramid near the green pyramid,find,pyramid,green,near,pyramid,green
find the green pyramid right the red pyramid,find,pyramid,green,right,pyramid,red
find the green pyramid right the blue pyramid,find,pyramid,green,right,pyramid,blue
find the green pyramid right the green pyramid,find,pyramid,green,right,pyramid,green
find the green pyramid left the red pyramid,find,pyramid,green,left,pyramid,red
find the green pyramid left the blue pyramid,find,pyramid,green,left,pyramid,blue
find the green pyramid left the green pyramid,find,pyramid,green,left,pyramid,green
find the green pyramid above the red sphere,find,pyramid,green,above,sphere,red
find the green pyramid above the blue sphere,find,pyramid,green,above,sphere,blue
find the green pyramid above the green sphere,find,pyramid,green,above,sphere,green
find the green pyramid below the red sphere,find,pyramid,green,below,sphere,red
find the green pyramid below the blue sphere,find,pyramid,green,below,sphere,blue
find the green pyramid below the green sphere,find,pyramid,green,below,sphere,green
find the green pyramid near the red sphere,find,pyramid,green,near,sphere,red
find the green pyramid near the blue sphere,find,pyramid,green,near,sphere,blue
find the green pyramid near the green sphere,find,pyramid,green,near,sphere,green
find the green pyramid right the red sphere,find,pyramid,green,right,sphere,red
find the green pyramid right the blue sphere,find,pyramid,green,right,sphere,blue
find the green pyramid right the green sphere,find,pyramid,green,right,sphere,green
find the green pyramid left the red sphere,find,pyramid,green,left,sphere,red
find the green pyramid left the blue sphere,find,pyramid,green,left,sphere,blue
find the green pyramid left the green sphere,find,pyramid,green,left,sphere,green
delete the green pyramid above the red cube,delete,pyramid,green,above,cube,red
delete the green pyramid above the blue cube,delete,pyramid,green,above,cube,blue
delete the green pyramid above the green cube,delete,pyramid,green,above,cube,green
delete the green pyramid below the red cube,delete,pyramid,green,below,cube,red
delete the green pyramid below the blue cube,delete,pyramid,green,below,cube,blue
delete the green pyramid below the green cube,delete,pyramid,green,below,cube,green
delete the green pyramid near the red cube,delete,pyramid,green,near,cube,red
delete the green pyramid near the blue cube,delete,pyramid,green,near,cube,blue
delete the green pyramid near the green cube,delete,pyramid,green,near,cube,green
delete the green pyramid right the red cube,delete,pyramid,green,right,cube,red
delete the green pyramid right the blue cube,delete,pyramid,green,right,cube,blue
delete the green pyramid right the green cube,delete,pyramid,green,right,cube,green
delete the green pyramid left the red cube,delete,pyramid,green,left,cube,red
delete the green pyramid left the blue cube,delete,pyramid,green,left,cube,blue
delete the green pyramid left the green cube,delete,pyramid,green,left,cube,green
delete the green pyramid above the red pyramid,delete,pyramid,green,above,pyramid,red
delete the green pyramid above the blue pyramid,delete,pyramid,green,above,pyramid,blue
delete the green pyramid above the green pyramid,delete,pyramid,green,above,pyramid,green
delete the green pyramid below the red pyramid,delete,pyramid,green,below,pyramid,red
delete the green pyramid below the blue pyramid,delete,pyramid,green,below,pyramid,blue
delete the green pyramid below the green pyramid,delete,pyramid,green,below,pyramid,green
delete the green pyramid near the red pyramid,delete,pyramid,green,near,pyramid,red
delete the green pyramid near the blue pyramid,delete,pyramid,green,near,pyramid,blue
delete the green pyramid near the green pyramid,delete,pyramid,green,near,pyramid,green
delete the green pyramid right the red pyramid,delete,pyramid,green,right,pyramid,red
delete the green pyramid right the blue pyramid,delete,pyramid,green,right,pyramid,blue
delete the green pyramid right the green pyramid,delete,pyramid,green,right,pyramid,green
delete the green pyramid left the red pyramid,delete,pyramid,green,left,pyramid,red
delete the green pyramid left the blue pyramid,delete,pyramid,green,left,pyramid,blue
delete the green pyramid left the green pyramid,delete,pyramid,green,left,pyramid,green
delete the green pyramid above the red sphere,delete,pyramid,green,above,sphere,red
delete the green pyramid above the blue sphere,delete,pyramid,green,above,sphere,blue
delete the green pyramid above the green sphere,delete,pyramid,green,above,sphere,green
delete the green pyramid below the red sphere,delete,pyramid,green,below,sphere,red
delete the green pyramid below the blue sphere,delete,pyramid,green,below,sphere,blue
delete the green pyramid below the green sphere,delete,pyramid,green,below,sphere,green
delete the green pyramid near the red sphere,delete,pyramid,green,near,sphere,red
delete the green pyramid near the blue sphere,delete,pyramid,green,near,sphere,blue
delete the green pyramid near the green sphere,delete,pyramid,green,near,sphere,green
delete the green pyramid right the red sphere,delete,pyramid,green,right,sphere,red
delete the green pyramid right the blue sphere,delete,pyramid,green,right,sphere,blue
delete the green pyramid right the green sphere,delete,pyramid,green,right,sphere,green
delete the green pyramid left the red sphere,delete,pyramid,green,left,sphere,red
delete the green pyramid left the blue sphere,delete,pyramid,green,left,sphere,blue
delete the green pyramid left the green sphere,delete,pyramid,green,left,sphere,green
move the green pyramid above the red cube,move,pyramid,green,above,cube,red
move the green pyramid above the blue cube,move,pyramid,green,above,cube,blue
move the green pyramid above the green cube,move,pyramid,green,above,cube,green
move the green pyramid below the red cube,move,pyramid,green,below,cube,red
move the green pyramid below the blue cube,move,pyramid,green,below,cube,blue
move the green pyramid below the green cube,move,pyramid,green,below,cube,green
move the green pyramid near the red cube,move,pyramid,green,near,cube,red
move the green pyramid near the blue cube,move,pyramid,green,near,cube,blue
move the green pyramid near the green cube,move,pyramid,green,near,cube,green
move the green pyramid right the red cube,move,pyramid,green,right,cube,red
move the green pyramid right the blue cube,move,pyramid,green,right,cube,blue
move the green pyramid right the green cube,move,pyramid,green,right,cube,green
move the green pyramid left the red cube,move,pyramid,green,left,cube,red
move the green pyramid left the blue cube,move,pyramid,green,left,cube,blue
move the green pyramid left the green cube,move,pyramid,green,left,cube,green
move the green pyramid above the red pyramid,move,pyramid,green,above,pyramid,red
move the green pyramid above the blue pyramid,move,pyramid,green,above,pyramid,blue
move the green pyramid above the green pyramid,move,pyramid,green,above,pyramid,green
move the green pyramid below the red pyramid,move,pyramid,green,below,pyramid,red
move the green pyramid below the blue pyramid,move,pyramid,green,below,pyramid,blue
move the green pyramid below the green pyramid,move,pyramid,green,below,pyramid,green
move the green pyramid near the red pyramid,move,pyramid,green,near,pyramid,red
move the green pyramid near the blue pyramid,move,pyramid,green,near,pyramid,blue
move the green pyramid near the green pyramid,move,pyramid,green,near,pyramid,green
move the green pyramid right the red pyramid,move,pyramid,green,right,pyramid,red
move the green pyramid right the blue pyramid,move,pyramid,green,right,pyramid,blue
move the green pyramid right the green pyramid,move,pyramid,green,right,pyramid,green
move the green pyramid left the red pyramid,move,pyramid,green,left,pyramid,red
move the green pyramid left the blue pyramid,move,pyramid,green,left,pyramid,blue
move the green pyramid left the green pyramid,move,pyramid,green,left,pyramid,green
move the green pyramid above the red sphere,move,pyramid,green,above,sphere,red
move the green pyramid above the blue sphere,move,pyramid,green,above,sphere,blue
move the green pyramid above the green sphere,move,pyramid,green,above,sphere,green
move the green pyramid below the red sphere,move,pyramid,green,below,sphere,red
move the green pyramid below the blue sphere,move,pyramid,green,below,sphere,blue
move the green pyramid below the green sphere,move,pyramid,green,below,sphere,green
move the green pyramid near the red sphere,move,pyramid,green,near,sphere,red
move the green pyramid near the blue sphere,move,pyramid,green,near,sphere,blue
move the green pyramid near the green sphere,move,pyramid,green,near,sphere,green
move the green pyramid right the red sphere,move,pyramid,green,right,sphere,red
move the green pyramid right the blue sphere,move,pyramid,green,right,sphere,blue
move the green pyramid right the green sphere,move,pyramid,green,right,sphere,green
move the green pyramid left the red sphere,move,pyramid,green,left,sphere,red
move the green pyramid left the blue sphere,move,pyramid,green,left,sphere,blue
move the green pyramid left the green sphere,move,pyramid,green,left,sphere,green
hold the green pyramid above the red cube,hold,pyramid,green,above,cube,red
hold the green pyramid above the blue cube,hold,pyramid,green,above,cube,blue
hold the green pyramid above the green cube,hold,pyramid,green,above,cube,green
hold the green pyramid below the red cube,hold,pyramid,green,below,cube,red
hold the green pyramid below the blue cube,hold,pyramid,green,below,cube,blue
hold the green pyramid below the green cube,hold,pyramid,green,below,cube,green
hold the green pyramid near the red cube,hold,pyramid,green,near,cube,red
hold the green pyramid near the blue cube,hold,pyramid,green,near,cube,blue
